Designator,Mid X,Mid Y,Rotation,Layer
D1,66.5,-60.0,0.0,top
D2,66.5,-70.0,0.0,top
J1,87.528,-121.4,0.0,top
J2,104.775,-80.4,0.0,top
R1,74.5,-65.08,90.0,top
R2,74.5,-79.08,90.0,top
R3,93.858,-89.2,0.0,top
SW1,108.5,-64.0,90.0,top
SW2,67.25,-81.25,270.0,top
U1,87.525,-61.875,0.0,top
